movieId,title,letters,year,imdbId
1,Toy Story,toystory,1995,tt0114709
2,Jumanji,jumanji,1995,tt0113497
3,Grumpier Old Men,grumpieroldmen,1995,tt0113228
4,Waiting to Exhale,waitingtoexhale,1995,tt0114885
5,Father of the Bride Part II,fatherofthebridepartii,1995,tt0113041
6,Heat,heat,1995,tt0113277
7,Sabrina,sabrina,1995,tt0114319
8,Tom and Huck,tomandhuck,1995,tt0112302
9,Sudden Death,suddendeath,1995,tt0114576
10,GoldenEye,goldeneye,1995,tt0113189
11,The American President,theamericanpresident,1995,tt0112346
12,Dracula: Dead and Loving It,dracula:deadandlovingit,1995,tt0112896
13,Balto,balto,1995,tt0112453
14,Nixon,nixon,1995,tt0113987
15,Cutthroat Island,cutthroatisland,1995,tt0112760
16,Casino,casino,1995,tt0112641
17,Sense and Sensibility,senseandsensibility,1995,tt0114388
18,Four Rooms,fourrooms,1995,tt0113101
19,Ace Ventura: When Nature Calls,aceventura:whennaturecalls,1995,tt0112281
20,Money Train,moneytrain,1995,tt0113845
21,Get Shorty,getshorty,1995,tt0113161
22,Copycat,copycat,1995,tt0112722
23,Assassins,assassins,1995,tt0112401
24,Powder,powder,1995,tt0114168
25,Leaving Las Vegas,leavinglasvegas,1995,tt0113627
26,Othello,othello,1995,tt0114057
27,Now and Then,nowandthen,1995,tt0114011
28,Persuasion,persuasion,1995,tt0114117
29,"The City of Lost Children (Cité des enfants perdus, La)","thecityoflostchildren(citédesenfantsperdus,la)",1995,tt0112682
30,Shanghai Triad (Yao a yao yao dao waipo qiao),shanghaitriad(yaoayaoyaodaowaipoqiao),1995,tt0115012
31,Dangerous Minds,dangerousminds,1995,tt0112792
32,Twelve Monkeys (a.k.a. 12 Monkeys),twelvemonkeys(a.k.a.12monkeys),1995,tt0114746
33,Wings of Courage,wingsofcourage,1995,tt0114952
34,Babe,babe,1995,tt0112431
35,Carrington,carrington,1995,tt0112637
36,Dead Man Walking,deadmanwalking,1995,tt0112818
37,Across the Sea of Time,acrosstheseaoftime,1995,tt0112286
38,It Takes Two,ittakestwo,1995,tt0113442
39,Clueless,clueless,1995,tt0112697
40,"Cry, the Beloved Country","cry,thebelovedcountry",1995,tt0112749
41,Richard III,richardiii,1995,tt0114279
42,Dead Presidents,deadpresidents,1995,tt0112819
43,Restoration,restoration,1995,tt0114272
44,Mortal Kombat,mortalkombat,1995,tt0113855
45,To Die For,todiefor,1995,tt0114681
46,How to Make an American Quilt,howtomakeanamericanquilt,1995,tt0113347
47,Seven (a.k.a. Se7en),seven(a.k.a.se7en),1995,tt0114369
48,Pocahontas,pocahontas,1995,tt0114148
49,When Night Is Falling,whennightisfalling,1995,tt0114916
50,The Usual Suspects,theusualsuspects,1995,tt0114814
51,Guardian Angel,guardianangel,1994,tt0109950
52,Mighty Aphrodite,mightyaphrodite,1995,tt0113819
53,Lamerica,lamerica,1994,tt0110299
54,The Big Green,thebiggreen,1995,tt0112499
55,Georgia,georgia,1995,tt0113158
56,Kids of the Round Table,kidsoftheroundtable,1995,tt0113541
57,Home for the Holidays,homefortheholidays,1995,tt0113321
58,"The Postman (Postino, Il)","thepostman(postino,il)",1994,tt0110877
59,"The Confessional (Confessionnal, Le)","theconfessional(confessionnal,le)",1995,tt0112714
60,The Indian in the Cupboard,theindianinthecupboard,1995,tt0113419
61,Eye for an Eye,eyeforaneye,1996,tt0116260
62,Mr. Holland's Opus,mr.holland'sopus,1995,tt0113862
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,don'tbeamenacetosouthcentralwhiledrinkingyourjuiceinthehood,1996,tt0116126
64,Two if by Sea,twoifbysea,1996,tt0118002
65,Bio-Dome,bio-dome,1996,tt0115683
66,Lawnmower Man 2: Beyond Cyberspace,lawnmowerman2:beyondcyberspace,1996,tt0116839
67,Two Bits,twobits,1995,tt0114753
68,French Twist (Gazon maudit),frenchtwist(gazonmaudit),1995,tt0113149
69,Friday,friday,1995,tt0113118
70,From Dusk Till Dawn,fromdusktilldawn,1996,tt0116367
71,Fair Game,fairgame,1995,tt0113010
72,Kicking and Screaming,kickingandscreaming,1995,tt0113537
73,"Misérables, Les","misérables,les",1995,tt0113828
74,Bed of Roses,bedofroses,1996,tt0115644
75,Big Bully,bigbully,1996,tt0115676
76,Screamers,screamers,1995,tt0114367
77,Nico Icon,nicoicon,1995,tt0113973
78,The Crossing Guard,thecrossingguard,1995,tt0112744
79,The Juror,thejuror,1996,tt0116731
80,The White Balloon (Badkonake sefid),thewhiteballoon(badkonakesefid),1995,tt0112445
81,Things to Do in Denver When You're Dead,thingstodoindenverwhenyou'redead,1995,tt0114660
82,Antonia's Line (Antonia),antonia'sline(antonia),1995,tt0112379
83,Once Upon a Time... When We Were Colored,onceuponatime...whenwewerecolored,1995,tt0114039
84,Last Summer in the Hamptons,lastsummerinthehamptons,1995,tt0113612
85,Angels and Insects,angelsandinsects,1995,tt0112365
86,White Squall,whitesquall,1996,tt0118158
87,Dunston Checks In,dunstonchecksin,1996,tt0116151
88,Black Sheep,blacksheep,1996,tt0115697
89,Nick of Time,nickoftime,1995,tt0113972
90,The Journey of August King,thejourneyofaugustking,1995,tt0113490
92,Mary Reilly,maryreilly,1996,tt0117002
93,Vampire in Brooklyn,vampireinbrooklyn,1995,tt0114825
94,Beautiful Girls,beautifulgirls,1996,tt0115639
95,Broken Arrow,brokenarrow,1996,tt0115759
96,In the Bleak Midwinter,inthebleakmidwinter,1995,tt0113403
97,"Hate (Haine, La)","hate(haine,la)",1995,tt0113247
98,Shopping,shopping,1994,tt0111173
99,Heidi Fleiss: Hollywood Madam,heidifleiss:hollywoodmadam,1995,tt0113283
100,City Hall,cityhall,1996,tt0115907
101,Bottle Rocket,bottlerocket,1996,tt0115734
102,Mr. Wrong,mr.wrong,1996,tt0117102
103,Unforgettable,unforgettable,1996,tt0118040
104,Happy Gilmore,happygilmore,1996,tt0116483
105,The Bridges of Madison County,thebridgesofmadisoncounty,1995,tt0112579
106,Nobody Loves Me (Keiner liebt mich),nobodylovesme(keinerliebtmich),1994,tt0110251
107,Muppet Treasure Island,muppettreasureisland,1996,tt0117110
108,Catwalk,catwalk,1996,tt0112646
109,Headless Body in Topless Bar,headlessbodyintoplessbar,1995,tt0113276
110,Braveheart,braveheart,1995,tt0112573
111,Taxi Driver,taxidriver,1976,tt0075314
112,Rumble in the Bronx (Hont faan kui),rumbleinthebronx(hontfaankui),1995,tt0113326
113,Before and After,beforeandafter,1996,tt0115645
114,Margaret's Museum,margaret'smuseum,1995,tt0113774
115,"Happiness Is in the Field (Bonheur est dans le pré, Le)","happinessisinthefield(bonheurestdanslepré,le)",1995,tt0112556
116,Anne Frank Remembered,annefrankremembered,1995,tt0112373
117,The Young Poisoner's Handbook,theyoungpoisoner'shandbook,1995,tt0115033
118,If Lucy Fell,iflucyfell,1996,tt0116606
119,"Steal Big, Steal Little","stealbig,steallittle",1995,tt0114536
120,Race the Sun,racethesun,1996,tt0117427
121,The Boys of St. Vincent,theboysofst.vincent,1992,tt0106473
122,Boomerang,boomerang,1992,tt0103859
123,Chungking Express (Chung Hing sam lam),chungkingexpress(chunghingsamlam),1994,tt0109424
124,"The Star Maker (Uomo delle stelle, L')","thestarmaker(uomodellestelle,l')",1995,tt0114808
125,Flirting With Disaster,flirtingwithdisaster,1996,tt0116324
126,The NeverEnding Story III,theneverendingstoryiii,1994,tt0110647
127,The Silences of the Palace (Saimt el Qusur),thesilencesofthepalace(saimtelqusur),1994,tt0111055
128,Jupiter's Wife,jupiter'swife,1994,tt0110217
129,Pie in the Sky,pieinthesky,1996,tt0114131
130,Angela,angela,1995,tt0112364
131,Frankie Starlight,frankiestarlight,1995,tt0113107
132,Jade,jade,1995,tt0113451
133,Nueba Yol,nuebayol,1995,tt0114015
134,Sonic Outlaws,sonicoutlaws,1995,tt0114500
135,Down Periscope,downperiscope,1996,tt0116130
136,From the Journals of Jean Seberg,fromthejournalsofjeanseberg,1995,tt0113125
137,Man of the Year,manoftheyear,1995,tt0113756
138,The Neon Bible,theneonbible,1995,tt0113952
139,Target,target,1995,tt0114618
140,Up Close and Personal,upcloseandpersonal,1996,tt0118055
141,The Birdcage,thebirdcage,1996,tt0115685
